huc12,duration_hours,is_monotonic,minimum_mm,maximum_mm,threshold_count
031300120102,6,True,74.25200619179468,320.7832511941605,10
031300120102,24,True,100.53112556498483,484.3637782222369,10
031300120102,72,True,125.67503847841682,586.585090826217,10
031300120103,1,True,44.15311283266222,135.50938106059417,10
031300120103,3,True,61.392721344764155,223.28496973540084,10
031300120103,6,True,73.19089940019782,305.4001483547607,10
031300120103,24,True,98.96374221688468,472.2910650700308,10
031300120103,72,True,124.03411345437034,568.7251344068211,10
031300120104,1,True,44.280428207894175,137.78479438432683,10
031300120104,3,True,61.73211769332032,228.98583169250804,10
031300120104,6,True,73.67657122394829,311.5128390669181,10
031300120104,24,True,99.75676765687474,473.74394629309774,10
031300120104,72,True,124.8157177902365,574.5521353343008,10
031300120105,1,True,44.35576100872185,140.92670221648862,10
031300120105,3,True,62.02057530583917,235.71427191357728,10
031300120105,6,True,74.13372210058462,318.399743065837,10
031300120105,24,True,100.63298564062214,475.7416064230104,10
